legoPartId,bricklinkPartId
100043,41835pb01
100218,3069pb0856
100797,98138pb013
100961,2335p03
101391,49311pb031
101704,3069pb1065
101789,25269pb030
101792,80444pb01
102310,98138pb361
102574,3004pb302
102576,98138pb365
102577,98138pb367
102699,3004pb302
102700,3004pb302
102701,3004pb302
102702,98138pb362
102763,98138pb363
102764,98138pb364
102975,98138pb385
103032,98138pb366
103348,98138pb371
103352,98138pb262
103358,80674pb03
103419,3005pb060
104515,80326pb019
104742,98138pb393
104777,98138pb379
105834,41835pb02
105855,98138pb396
105884,30292pb067
105994,98138pb395
106069,98138pb398
106101,37352pb035
106102,37352pb032
106103,37352pb034
106104,37352pb032
106105,37352pb033
106106,37352pb035
106107,37352pb032
106108,37352pb037
106109,37352pb032
106110,37352pb038
106111,5174pb04
106112,5174pb02
106114,5174pb03
106115,5174pb01
106342,24093pb070
106344,93606pb188
106345,553pb050
106401,2429c01
107004,80674pb05
107006,24093pb078
107192,1993pb05
107605,105143pb03
108492,98138pb400
108943,5174pb04
109167,95341pb03
109194,2586pb012
109224,98138pb428
109405,3070pb361
109636,23443
110132,50950
11153,61678
13360,98138pb007
13731,85970
1382,29119
14395,2339
15207,30413
15587,43898
15672,92946
15826,98138pb015
15828,98138pb014
1679,32531
1680,32532
1735,18855
17715,87994
17836,88646
17947,90397
18658,93092
18660,22667
18740,90370
18747,11253
18759,2341
18971,93095
19241,98138pb028
1927,2429c01
20086,33172
20430,6259
20896,55981
21462,30374
21610,98138pb033
21712,44728
21731,93274
23893,87580
24434,6183
24458,93059
25395,3069pb0440
25406,98138pb042
25619,98138pb045
25994,33078
26169,4865b
26170,2489
2664,33051
26819,98138pb055
27356,3069pb0507
2748,3857
28554,3024
28556,30153
28558,2654
28567,2866
28577,85959
28579,98282
28618,6126b
28620,11833
28621,3626
28623,52
28624,58176
28626,85861
28653,3023
28657,2343
28659,30602
28661,64647
28662,95228
28683,23861
28684,24324
28697,30374
28733,30106
28809,18677
28830,6585
28841,x223
28842,48183
28917,2921
28918,11290
28919,11301
28921,63965
28961,60608
28964,76766
28967,92926
28973,32555
28979,95354
29161,2599a
29165,23444
29167,24093
29170,30046
29171,33322
29172,47407
29175,85975
29176,95344
29336,4739a
29337,11833
29340,15303
29377,52
29380,58176
29387,85861
30124,2446
30936,16770
30938,18838
31493,32064
31498,64450
31510,96874
31561,20482
31570,20482
31576,15279
31577,33121
31584,11291
31593,4175
31733,6266
31959,91501
3228,3228c
3233,4035
3245,3245b
3262,553
3273,38320
3274,3626
3292,4515
32981,30222
3342,33172
33449,93061
33458,47847
3346,67338
3362,64954
3373,15396
33847,54200
33979,3069pb0584
34078,89522
3428,2584
3441,53119
34823,4073
3484,48729b
35154,3961
35159,24607
35160,4594
35161,47543
35161,47543
35162,49668
35168,13756
35173,18675
35193,84954
35243,2437
35244,30090
35245,4533
35251,2571
35252,30292
35255,30413
35256,3066
35260,3823
35262,3956
35268,43898
35269,45705
35274,2454
35275,3003
35276,30562
35277,3039
35279,57783
35281,3040
35287,60602
35290,60616
35291,60616
35293,4865b
35294,57895
35295,57895
35298,62360
35299,62360
35300,18972
35306,72475
35312,85941
35313,85941
35315,60601
35316,60601
35318,60603
35319,86500
35320,86500
35322,18990
35323,60581
35326,50990b
35328,21849
35332,87606
35336,4176
35337,45705
35338,54200
35340,87544
35341,22385
35343,22388
35344,22388
35345,87752
35347,87926
35371,2431
35373,92279
35375,92474
35378,87552
35380,98138
35381,98138
35382,3005
35383,23448
35386,3069
35387,23969
35388,4070
35390,3062
35391,23969
35395,4740
35398,24246
35399,24246
35402,24593
35403,3070
35743,3065
3576,38799
3593,11477
36089,98138pb088
3632,30355
3662,60593
3678,3678b
3709,3709b
37293,3069
3747,3747b
3768,15456
37837,20953
37840,20952
38480,92579
3852,3852b
38708,30151
39223,3941
3943,3943b
39683,90258
39727,3070
39759,30104
39890,92338
39891,92583
39893,30386
39894,64453
40289,60596
40296,16577
4047,4151b
40527,6154
40528,553
40672,4218
40995,x224
41268,60601pb017
41632,4081b
41822,43719
42194,30592
42456,61184
42478,63082
42505,4590
4278,58176
42923,63868
42925,30237b
42929,6232
4294,30099
42944,60583b
42949,10884
4296,3743
43030,18969
4308,77182
43156,3005pb028
4367,32606
43876,4623b
44237,2456
44302,44302
44842,15712
44860,4085d
44873,11090
4495,4495b
4581,77180
46523,57894
47094,2569
47096,93560
47182,98138pb097
4723,3046
4724,30089b
47919,3069ps1
48241,2476
48310,47543
48310,47543
48370,48169
48410,25269
48442,48170
48454,48171
48461,48172
4898,85834
49132,85943
49153,2460
4925,62361
49546,42445
49714,30389b
49715,44301b
49716,44567b
49743,49743c01
49752,93609
49753,98313
49754,30377
49755,23443
49756,90202
50029,32124
50334,14137
50337,44570
50340,60471
50401,89649
50402,89648
51138,32125
51373,50990
51477,13252
51478,30364
51482,30396
52394,4588
52395,4790b
52738,61252
52979,50747
53017,90398
53028,30541
53029,40902
53030,51858
5333,48171
53505,95198
53540,30526
5378,3384
5379,57906
53836,3070
53922,30383
53968,92582
53972,x789
54285,3069
54657,44302
54661,30387
54662,30554b
54671,30365
54672,30540
54782,47847
5529,39739
56976,98138pb118
5711,41747
5720,30413
5830,41748
58494,6583
59121,35700
60572,30359b
61406,61406pb04
6141,4073
6143,3941
61537,4499
6269,2343
6350694,61184
6371957,85943
63783,16968
